date,state,dose,daily_vac
2021-02-28,Penang,1st Booster,0
2021-02-28,Sabah,1st Booster,0
2021-02-28,Sarawak,1st Booster,0
2021-02-28,Selangor,1st Booster,0
2021-02-28,Terengganu,1st Booster,0
2021-02-28,Kuala Lumpur,1st Booster,0
2021-02-28,Labuan,1st Booster,0
2021-02-28,Putrajaya,1st Booster,0
2021-02-28,Malaysia,1st Booster,0
2021-02-28,Johor,2nd Booster,0
2021-02-28,Kedah,2nd Booster,0
2021-02-28,Kelantan,2nd Booster,0
2021-02-28,Melaka,2nd Booster,0
2021-02-28,Negeri Sembilan,2nd Booster,0
2021-02-28,Pahang,2nd Booster,0
2021-02-28,Perak,2nd Booster,0
2021-02-28,Perlis,2nd Booster,0
2021-02-28,Penang,2nd Booster,0
2021-02-28,Sabah,2nd Booster,0
2021-02-28,Sarawak,2nd Booster,0
2021-02-28,Selangor,2nd Booster,0
2021-02-28,Terengganu,2nd Booster,0
2021-02-28,Kuala Lumpur,2nd Booster,0
2021-02-28,Labuan,2nd Booster,0
2021-02-28,Putrajaya,2nd Booster,0
2021-02-28,Malaysia,2nd Booster,0
2021-02-28,Johor,2nd Dose,0
2021-02-28,Kedah,2nd Dose,1
2021-02-28,Kelantan,2nd Dose,0
2021-02-28,Melaka,2nd Dose,0
2021-02-28,Negeri Sembilan,2nd Dose,0
2021-02-28,Pahang,2nd Dose,0
2021-02-28,Perak,2nd Dose,0
2021-02-28,Perlis,2nd Dose,0
2021-02-28,Penang,2nd Dose,0
2021-02-28,Sabah,2nd Dose,0
2021-02-28,Sarawak,2nd Dose,2
2021-02-28,Selangor,2nd Dose,2
2021-02-28,Terengganu,2nd Dose,0
2021-02-28,Kuala Lumpur,2nd Dose,0
2021-02-28,Labuan,2nd Dose,0
2021-02-28,Putrajaya,2nd Dose,0
2021-02-28,Malaysia,2nd Dose,5
2021-02-28,Johor,1st Dose,823
2021-02-28,Kedah,1st Dose,784
2021-02-28,Kelantan,1st Dose,162
2021-02-28,Melaka,1st Dose,0
2021-02-28,Negeri Sembilan,1st Dose,0
2021-02-28,Pahang,1st Dose,99
2021-02-28,Perak,1st Dose,129
2021-02-28,Perlis,1st Dose,0
2021-02-28,Penang,1st Dose,12
2021-02-28,Sabah,1st Dose,467
2021-02-28,Sarawak,1st Dose,3176
2021-02-28,Selangor,1st Dose,67
2021-02-28,Terengganu,1st Dose,461
2021-02-28,Kuala Lumpur,1st Dose,150
2021-02-28,Labuan,1st Dose,360
2021-02-28,Putrajaya,1st Dose,1
2021-02-28,Malaysia,1st Dose,6691
2021-03-01,Johor,1st Booster,0
2021-03-01,Kedah,1st Booster,0
2021-03-01,Kelantan,1st Booster,0
2021-03-01,Melaka,1st Booster,0
2021-03-01,Negeri Sembilan,1st Booster,0
2021-03-01,Pahang,1st Booster,0
2021-03-01,Perak,1st Booster,0
2021-03-01,Perlis,1st Booster,0
2021-03-01,Penang,1st Booster,0
2021-03-01,Sabah,1st Booster,0
2021-03-01,Sarawak,1st Booster,0
2021-03-01,Selangor,1st Booster,0
2021-03-01,Terengganu,1st Booster,0
2021-03-01,Kuala Lumpur,1st Booster,0
2021-03-01,Labuan,1st Booster,0
2021-03-01,Putrajaya,1st Booster,0
2021-03-01,Malaysia,1st Booster,0
2021-03-01,Johor,2nd Booster,0
2021-03-01,Kedah,2nd Booster,0
2021-03-01,Kelantan,2nd Booster,0
2021-03-01,Melaka,2nd Booster,0
2021-03-01,Negeri Sembilan,2nd Booster,0
2021-03-01,Pahang,2nd Booster,0
2021-03-01,Perak,2nd Booster,0
2021-03-01,Perlis,2nd Booster,0
2021-03-01,Penang,2nd Booster,0
2021-03-01,Sabah,2nd Booster,0
2021-03-01,Sarawak,2nd Booster,0
2021-03-01,Selangor,2nd Booster,0
2021-03-01,Terengganu,2nd Booster,0
2021-03-01,Kuala Lumpur,2nd Booster,0
2021-03-01,Labuan,2nd Booster,0
2021-03-01,Putrajaya,2nd Booster,0
2021-03-01,Malaysia,2nd Booster,0
2021-03-01,Johor,2nd Dose,0
2021-03-01,Kedah,2nd Dose,1
2021-03-01,Kelantan,2nd Dose,0
2021-03-01,Melaka,2nd Dose,0
2021-03-01,Negeri Sembilan,2nd Dose,0
2021-03-01,Pahang,2nd Dose,1
2021-03-01,Perak,2nd Dose,1
2021-03-01,Perlis,2nd Dose,0
2021-03-01,Penang,2nd Dose,0
2021-03-01,Sabah,2nd Dose,0
2021-03-01,Sarawak,2nd Dose,0
2021-03-01,Selangor,2nd Dose,1
2021-03-01,Terengganu,2nd Dose,0
2021-03-01,Kuala Lumpur,2nd Dose,0
2021-03-01,Labuan,2nd Dose,0
2021-03-01,Putrajaya,2nd Dose,0
2021-03-01,Malaysia,2nd Dose,4
2021-03-01,Johor,1st Dose,2144
2021-03-01,Kedah,1st Dose,1065
2021-03-01,Kelantan,1st Dose,1794
2021-03-01,Melaka,1st Dose,157
2021-03-01,Negeri Sembilan,1st Dose,585
2021-03-01,Pahang,1st Dose,1207
2021-03-01,Perak,1st Dose,1890
2021-03-01,Perlis,1st Dose,354
2021-03-01,Penang,1st Dose,447
2021-03-01,Sabah,1st Dose,127
2021-03-01,Sarawak,1st Dose,1731
2021-03-01,Selangor,1st Dose,609
2021-03-01,Terengganu,1st Dose,0
2021-03-01,Kuala Lumpur,1st Dose,2362
2021-03-01,Labuan,1st Dose,451
2021-03-01,Putrajaya,1st Dose,440
2021-03-01,Malaysia,1st Dose,15363
2021-03-02,Johor,1st Booster,0
2021-03-02,Kedah,1st Booster,0
2021-03-02,Kelantan,1st Booster,0
2021-03-02,Melaka,1st Booster,0
2021-03-02,Negeri Sembilan,1st Booster,0
2021-03-02,Pahang,1st Booster,0
2021-03-02,Perak,1st Booster,0
2021-03-02,Perlis,1st Booster,0
2021-03-02,Penang,1st Booster,0
2021-03-02,Sabah,1st Booster,0
2021-03-02,Sarawak,1st Booster,0
2021-03-02,Selangor,1st Booster,0
2021-03-02,Terengganu,1st Booster,0
2021-03-02,Kuala Lumpur,1st Booster,0
2021-03-02,Labuan,1st Booster,0
2021-03-02,Putrajaya,1st Booster,0
2021-03-02,Malaysia,1st Booster,0
2021-03-02,Johor,2nd Booster,0
2021-03-02,Kedah,2nd Booster,0
2021-03-02,Kelantan,2nd Booster,0
2021-03-02,Melaka,2nd Booster,0
2021-03-02,Negeri Sembilan,2nd Booster,0
2021-03-02,Pahang,2nd Booster,0
2021-03-02,Perak,2nd Booster,0
2021-03-02,Perlis,2nd Booster,0
2021-03-02,Penang,2nd Booster,0
2021-03-02,Sabah,2nd Booster,0
2021-03-02,Sarawak,2nd Booster,0
2021-03-02,Selangor,2nd Booster,0
2021-03-02,Terengganu,2nd Booster,0
2021-03-02,Kuala Lumpur,2nd Booster,0
